from,to
92,65
20,65
90,65
19,65
68,65
28,65
24,65
33,20
34,20
34,20
36,20
52,20
76,20
72,20
235,20
79,20
50,20
49,20
59,20
89,20
78,20
160,20
45,20
216,20
115,20
44,20
107,20
42,20
88,20
87,20
236,20
53,20
40,20
142,20
41,20
60,20
77,20
77,20
0,20
237,20
134,20
96,20
97,20
98,20
95,20
185,20
187,20
10,20
11,20
190,20
191,20
63,20
94,20
106,20
147,20
64,20
23,20
120,20
92,20
65,20
90,20
19,20
182,20
26,20
24,20
68,20
68,20
157,20
25,20
238,20
28,20
104,20
2,20
55,20
82,20
80,20
54,20
3,20
189,20
196,20
158,20
239,20
1,20
123,20
6,20
240,20
208,20
70,20
61,20
188,20
9,20
85,20
57,20
17,20
101,20
75,20
86,20
230,20
14,20
228,20
215,20
227,20
18,20
184,20
132,20
58,20
84,20
183,20
180,20
241,20
113,20
75,90
86,90
103,90
84,90
113,90
58,90
85,90
78,90
242,90
59,90
59,90
89,90
87,90
88,90
106,90
29,90
93,90
94,90
63,90
61,90
54,90
80,90
62,90
124,90
95,90
98,90
96,90
77,90
77,90
138,90
33,90
33,90
52,90
34,90
72,90
68,90
24,90
68,90
28,90
65,90
20,90
92,90
72,148
80,148
75,148
34,19
35,19
33,19
33,19
72,19
80,19
54,19
61,19
70,19
30,19
29,19
64,19
58,19
84,19
113,19
127,19
75,19
86,19
78,19
115,19
59,19
59,19
88,19
41,19
53,19
60,19
134,19
98,19
24,19
28,19
27,19
174,19
65,19
20,19
20,182
40,182
41,182
34,182
52,182
72,182
2,182
134,182
64,182
243,22
86,22
64,22
34,22
34,22
6,21
86,21
134,21
94,21
121,21
53,21
59,21
224,21
72,91
80,91
54,91
75,91
106,91
88,91
87,91
1,210
59,23
40,23
53,23
86,23
75,23
20,23
52,23
34,23
34,121
72,121
77,121
59,121
86,121
80,121
72,171
80,120
82,120
78,120
59,120
72,120
34,120
52,120
34,120
20,120
75,120
86,120
14,120
85,120
96,120
85,92
75,92
86,92
58,92
132,92
110,92
33,92
72,92
34,92
52,92
52,92
34,92
106,92
94,92
93,92
78,92
87,92
88,92
59,92
51,92
77,92
95,92
98,92
96,92
170,92
20,92
65,92
90,92
68,92
27,92
24,92
68,92
105,92
82,92
104,92
61,92
244,92
54,92
80,92
78,93
87,93
88,93
59,93
74,93
94,93
106,93
103,93
75,93
86,93
84,93
85,93
105,93
104,93
83,93
70,93
54,93
54,93
80,93
52,93
33,93
72,93
92,93
90,93
98,93
95,93
77,93
122,201
33,201
89,118
78,118
75,118
74,118
77,118
136,118
95,118
96,118
34,118
52,118
72,118
175,118
24,118
84,94
18,94
110,94
113,94
58,94
101,94
85,94
86,94
130,94
116,94
102,94
75,94
14,94
178,94
52,94
34,94
34,94
33,94
79,94
72,94
104,94
82,94
1,94
83,94
61,94
70,94
54,94
196,94
80,94
62,94
95,94
96,94
98,94
111,94
117,94
226,94
77,94
77,94
156,94
89,94
59,94
87,94
88,94
100,94
78,94
160,94
68,94
68,94
24,94
20,94
90,94
65,94
92,94
120,94
69,94
106,94
64,94
63,94
94,94
93,94
1,32
53,32
54,74
104,74
83,74
70,74
71,74
85,74
130,74
156,74
88,74
69,74
106,74
93,74
118,74
79,74
0,214
149,214
115,29
59,29
140,29
59,29
43,29
88,29
107,29
53,29
72,29
33,29
33,29
52,29
34,29
34,29
52,29
65,29
28,29
24,29
27,29
15,29
75,29
86,29
58,29
133,29
80,29
5,29
70,29
61,29
105,29
64,29
68,63
24,63
65,63
90,63
20,63
1,63
61,63
55,63
56,63
207,63
62,63
80,63
54,63
34,63
34,63
52,63
33,63
72,63
86,63
75,63
58,63
132,63
113,63
85,63
59,63
48,63
89,63
87,63
142,63
88,63
78,63
115,63
0,63
60,63
77,63
98,63
96,63
97,63
95,63
64,63
94,63
65,234
52,191
34,191
20,191
21,31
28,31
29,31
53,31
59,31
8,31
80,223
53,30
59,30
59,30
66,30
34,30
72,30
38,30
33,30
33,30
65,190
113,64
132,64
58,64
75,64
86,64
57,64
63,64
29,64
94,64
62,64
54,64
55,64
2,64
1,64
208,64
61,64
9,64
98,64
97,64
11,64
77,64
60,64
0,64
59,64
51,64
47,64
89,64
78,64
53,64
43,64
142,64
41,64
33,64
34,64
76,64
72,64
24,64
25,64
68,64
174,64
28,64
19,64
20,64
65,64
75,163
72,163
59,146
41,146
106,146
33,146
38,146
33,106
52,106
34,106
34,106
72,106
79,106
65,106
90,106
20,106
91,106
92,106
68,106
24,106
28,106
68,106
18,106
58,106
84,106
86,106
127,106
75,106
101,106
85,106
54,106
80,106
82,106
105,106
70,106
61,106
78,106
242,106
88,106
87,106
89,106
59,106
95,106
98,106
96,106
77,106
77,106
74,106
93,106
94,106
234,233
65,233
77,69
77,69
95,69
96,69
98,69
68,69
84,69
85,69
75,69
78,69
88,69
89,69
59,69
33,69
34,69
52,69
72,69
94,69
74,69
106,69
83,69
82,69
80,69
54,69
59,147
53,147
63,147
20,147
65,147
24,147
58,147
86,147
75,147
34,147
33,147
72,147
