from,to
137,72
98,72
170,72
97,72
155,72
96,72
95,72
90,72
19,72
148,72
65,72
20,72
91,72
121,72
92,72
171,72
120,72
68,72
28,72
172,72
173,72
27,72
68,72
99,72
174,72
67,72
175,72
24,72
66,72
157,72
131,72
130,72
176,72
177,72
14,72
75,72
128,72
86,72
103,72
129,72
13,72
114,72
15,72
178,72
102,72
85,72
101,72
57,72
110,72
18,72
133,72
132,72
113,72
58,72
179,72
84,72
180,72
34,164
72,164
20,235
181,76
20,76
1,76
64,76
54,79
70,79
61,79
72,79
34,79
52,79
34,79
68,79
20,79
59,79
59,79
51,79
78,79
94,79
74,79
58,79
110,79
101,79
85,79
86,79
15,79
75,79
95,79
98,79
96,79
77,79
156,79
77,79
90,34
19,34
20,34
182,34
65,34
22,34
22,34
65,34
20,34
120,34
120,34
92,34
92,34
23,34
121,34
68,34
28,34
24,34
24,34
66,34
172,34
99,34
99,34
28,34
68,34
27,34
157,34
68,34
72,34
79,34
79,34
72,34
164,34
33,34
33,34
52,34
52,34
36,34
52,34
34,34
35,34
178,34
102,34
102,34
15,34
116,34
103,34
128,34
86,34
86,34
13,34
75,34
75,34
14,34
14,34
177,34
130,34
131,34
18,34
18,34
113,34
84,34
84,34
132,34
183,34
110,34
184,34
58,34
58,34
85,34
85,34
57,34
101,34
101,34
59,34
50,34
49,34
50,34
89,34
89,34
59,34
41,34
87,34
100,34
40,34
43,34
88,34
88,34
40,34
87,34
142,34
160,34
78,34
78,34
45,34
115,34
44,34
96,34
97,34
95,34
98,34
185,34
98,34
96,34
77,34
60,34
117,34
77,34
0,34
156,34
77,34
111,34
137,34
186,34
10,34
187,34
83,34
9,34
61,34
188,34
61,34
1,34
1,34
6,34
70,34
70,34
80,34
189,34
3,34
54,34
54,34
62,34
62,34
124,34
3,34
104,34
104,34
82,34
82,34
55,34
118,34
94,34
29,34
190,34
191,34
63,34
63,34
94,34
69,34
147,34
64,34
106,34
106,34
86,222
27,153
34,52
34,52
34,52
33,52
79,52
79,52
72,52
93,52
94,52
29,52
191,52
118,52
63,52
106,52
69,52
73,52
67,52
157,52
68,52
68,52
99,52
192,52
27,52
24,52
90,52
20,52
65,52
120,52
92,52
92,52
120,52
78,52
160,52
160,52
44,52
78,52
45,52
193,52
87,52
39,52
87,52
88,52
194,52
162,52
100,52
43,52
107,52
50,52
59,52
89,52
50,52
51,52
59,52
195,52
80,52
3,52
54,52
196,52
123,52
188,52
70,52
1,52
61,52
71,52
197,52
104,52
82,52
104,52
55,52
15,52
15,52
13,52
103,52
128,52
86,52
128,52
75,52
176,52
198,52
14,52
130,52
102,52
178,52
85,52
101,52
58,52
133,52
183,52
18,52
132,52
84,52
84,52
113,52
184,52
110,52
134,52
77,52
156,52
117,52
77,52
135,52
77,52
111,52
0,52
60,52
185,52
98,52
95,52
96,52
137,52
186,52
10,52
199,52
34,36
20,36
64,36
33,145
59,145
59,35
59,35
53,35
41,35
200,35
46,35
65,35
19,35
28,35
24,35
61,35
112,35
5,35
13,35
113,35
58,35
34,35
33,35
33,35
72,35
97,35
180,33
18,33
84,33
58,33
58,33
113,33
132,33
84,33
133,33
57,33
85,33
128,33
86,33
86,33
114,33
127,33
75,33
75,33
131,33
130,33
103,33
103,33
30,33
29,33
63,33
30,33
29,33
93,33
201,33
94,33
106,33
146,33
64,33
69,33
147,33
28,33
67,33
28,33
174,33
68,33
66,33
24,33
68,33
24,33
27,33
27,33
19,33
19,33
65,33
20,33
90,33
90,33
65,33
92,33
60,33
134,33
134,33
0,33
202,33
77,33
136,33
77,33
95,33
96,33
98,33
98,33
137,33
138,33
8,33
122,33
83,33
1,33
61,33
70,33
6,33
61,33
124,33
124,33
62,33
112,33
112,33
54,33
54,33
62,33
80,33
5,33
125,33
104,33
203,33
105,33
105,33
55,33
72,33
72,33
33,33
33,33
35,33
145,33
52,33
34,33
35,33
34,33
59,33
59,33
139,33
59,33
108,33
59,33
51,33
59,33
50,33
59,33
89,33
40,33
142,33
41,33
41,33
87,33
43,33
43,33
88,33
53,33
115,33
78,33
75,124
139,124
59,124
54,124
80,124
61,124
27,124
90,124
98,124
138,124
33,124
33,124
34,124
72,124
65,56
60,56
59,56
204,56
55,56
62,56
61,56
1,56
63,56
86,56
132,56
59,125
51,125
33,125
94,196
52,196
134,196
75,196
20,196
53,4
34,189
20,189
38,5
33,5
33,5
35,5
96,5
60,5
58,5
61,5
112,5
28,5
53,5
41,5
59,5
59,5
44,3
59,3
53,3
96,3
72,3
52,3
34,3
34,3
20,3
120,3
80,3
188,3
86,3
75,3
18,3
85,3
1,207
63,207
65,207
0,207
77,80
77,80
95,80
96,80
138,80
137,80
72,80
33,80
34,80
52,80
85,80
133,80
84,80
18,80
58,80
75,80
86,80
14,80
131,80
103,80
13,80
69,80
106,80
94,80
29,80
93,80
190,80
63,80
148,80
19,80
65,80
20,80
90,80
91,80
92,80
121,80
120,80
27,80
67,80
24,80
66,80
68,80
54,80
124,80
1,80
61,80
6,80
70,80
82,80
105,80
104,80
78,80
59,80
89,80
87,80
88,80
40,80
41,80
59,112
59,112
41,112
28,112
90,112
58,112
33,112
33,112
35,112
51,244
33,62
33,62
34,62
34,62
35,62
72,62
55,62
56,62
1,62
8,62
61,62
9,62
132,62
113,62
58,62
84,62
90,62
65,62
19,62
24,62
28,62
0,62
77,62
134,62
142,62
59,62
78,62
64,62
94,62
94,54
93,54
74,54
63,54
64,54
106,54
69,54
84,54
58,54
180,54
84,54
18,54
110,54
101,54
85,54
75,54
86,54
102,54
130,54
103,54
75,54
20,54
19,54
90,54
65,54
28,54
68,54
24,54
68,54
68,54
91,54
92,54
78,54
87,54
41,54
40,54
162,54
107,54
88,54
100,54
109,54
39,54
59,54
89,54
33,54
33,54
34,54
52,54
34,54
52,54
72,54
79,54
72,54
54,54
80,54
54,54
124,54
83,54
71,54
61,54
70,54
81,54
104,54
82,54
77,54
77,54
135,54
98,54
95,54
98,54
95,54
96,54
58,61
18,61
113,61
132,61
84,61
86,61
14,61
103,61
75,61
101,61
85,61
57,61
33,61
33,61
35,61
34,61
34,61
52,61
79,61
72,61
65,61
90,61
20,61
19,61
24,61
28,61
27,61
68,61
68,61
92,61
62,61
54,61
56,61
80,61
1,61
70,61
9,61
82,61
104,61
55,61
142,61
40,61
41,61
87,61
43,61
88,61
59,61
89,61
115,61
78,61
77,61
60,61
0,61
96,61
98,61
95,61
63,61
94,61
29,61
64,61
106,61
1,209
205,209
41,70
87,70
88,70
50,70
59,70
89,70
78,70
83,70
61,70
80,70
54,70
104,70
82,70
96,70
95,70
98,70
77,70
77,70
94,70
74,70
93,70
106,70
69,70
20,70
19,70
24,70
68,70
33,70
33,70
72,70
52,70
34,70
34,70
58,70
84,70
75,70
130,70
86,70
85,70
101,70
206,149
0,149
130,71
75,71
117,71
94,71
74,71
52,71
72,71
87,248
20,123
52,123
80,1
62,1
207,1
56,1
61,1
208,1
9,1
209,1
9,1
2,1
55,1
205,1
20,1
65,1
68,1
25,1
24,1
68,1
28,1
210,1
0,1
77,1
134,1
60,1
97,1
95,1
211,1
11,1
150,1
85,1
57,1
212,1
86,1
16,1
75,1
132,1
84,1
113,1
58,1
48,1
151,1
141,1
59,1
47,1
89,1
142,1
53,1
213,1
40,1
181,1
78,1
115,1
32,1
214,1
63,1
94,1
64,1
147,1
52,1
34,1
34,1
33,1
72,1
37,1
76,1
20,9
64,9
0,9
14,9
59,9
53,9
1,9
1,9
61,9
62,9
34,9
20,6
19,6
21,6
72,6
34,6
33,6
134,6
53,6
59,6
89,6
50,6
58,6
113,6
86,6
75,6
14,6
215,158
216,158
20,158
58,8
33,8
38,8
28,8
53,8
59,8
59,8
147,8
64,8
96,8
0,8
95,218
10,188
18,188
75,188
20,188
45,188
34,188
52,188
3,188
59,122
33,122
47,208
64,208
1,208
11,208
132,208
25,208
20,208
20,240
20,239
53,7
86,221
77,83
93,83
94,83
54,83
62,83
70,83
87,83
59,83
78,83
114,83
75,83
171,83
33,83
34,83
72,83
72,165
138,166
127,166
72,166
65,104
20,104
68,104
92,104
106,104
74,104
94,104
77,104
111,104
98,104
97,104
95,104
96,104
78,104
59,104
89,104
87,104
88,104
33,104
33,104
72,104
52,104
52,104
34,104
34,104
61,104
70,104
54,104
80,104
86,104
75,104
84,104
58,104
85,104
72,167
106,105
29,105
93,105
92,105
172,105
33,105
33,105
72,105
88,105
80,105
84,82
18,82
58,82
86,82
75,82
85,82
101,82
106,82
69,82
94,82
68,82
68,82
20,82
19,82
70,82
61,82
54,82
104,82
78,82
88,82
87,82
100,82
59,82
89,82
98,82
95,82
96,82
77,82
134,82
72,82
52,82
34,82
34,82
20,55
65,55
56,55
62,55
61,55
1,55
34,55
52,55
33,55
78,55
200,55
204,55
59,55
64,55
63,55
0,55
60,55
86,55
113,55
58,55
132,55
87,81
54,81
209,205
1,205
77,126
21,126
68,126
59,126
129,168
166,168
66,168
72,168
138,168
20,2
64,2
53,2
1,2
11,2
33,203
52,197
54,77
54,77
80,77
62,77
70,77
1,77
70,77
61,77
83,77
104,77
